,title,price,year,link,brand,age,log_price,log_age,title,year_post,condition,cylinders,drivetrain,fuel,miles,color,transmission,bodytype,text
37,buick,4500,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7785078444.html,buick,,8.411832675758411,,title,2011,good, 4 cylinders,fwd,gas,164000,brown,automatic,SUV,"2011 model Buick with 160,000 miles runs good call or text  show contact info"
38,jeep wrangler,12500,,https://charlottesville.craigslist.org/cto/d/waynesboro-jeep-wrangler/7785014681.html,jeep,,9.433483923290392,,title,2007,good, 6 cylinders,4wd,gas,174000,black,manual,SUV,"2007 jeep wrangler 4 door unlimited x. Has 174,000 miles with brand new jasper jeep 3.8L engine installed at 155,000 miles. Have all the paperwork to go with it .Jeep runs great, has a few scratches but in great shape overall. Check engine light on for 02 sensor. Has new front and rear brakes, brand new tires, Has Apple car play with back up camera. 6 speed manual.  Has Rebuilt title"
39,2007 toyota camry v6 xle,4100,2007.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2007-toyota-camry-v6-xle/7785001447.html,toyota,18.0,8.318742252692399,2.8903717578961645,title,2007,good, 6 cylinders,fwd,gas,248300,missing,automatic,sedan,"2007 V6 Camry. Strong engine, just replaced  ignition coil, spark plugs replaced,engine air filter, upper fuel injection gasket replaced. There some wear on the inside/outside but it rides great. AC and heat work great. It will go over 400k if you maintain this vehicle.$4700 or best offer"
40,1994 chevy s10,4000,1994.0,https://charlottesville.craigslist.org/cto/d/palmyra-1994-chevy-s10/7784965289.html,chevy,31.0,8.294049640102028,3.4339872044851463,title,1994,good, 4 cylinders,rwd,gas,139000,silver,manual,pickup,"For Sale!!!1994 s10.Lowered, rides like a lowered truck!Fun to drive. 2.2 liter, 5 speed. Weekend truck for me, I have other projects and she needs a new owner. NO A/C!! Heat works!! Has the stock stereo and a couple door speakers. Crack across the windshield at the bottom, who cares, I was going to run tint up from the bottom, just hadn’t got around to it. Very minimal rust at all!4 G Cash, I’m firm on that."
41,toyota 4runner,3500,,https://charlottesville.craigslist.org/cto/d/quinque-toyota-4runner/7784875544.html,toyota,,8.160518247477505,,title,1995,good, 6 cylinders,4wd,gas,166941,black,manual,SUV,"I have a 95 Toyota 4 runner it has 166,941 it Runs good the only reason Im selling it because it leaking antifreeze under the intake i think a hose busted I know it didn’t over heat when it busted and I don’t have time to mess with it I have aluminum rim with tires that go with it the tires are basically new I didn’t run them but maybe twice and on the Toyota it has new tires on it and it have some body rust it would be great vehicle if you get the hose fix or a hunting vehicle it has a new radiator and new timing belt and water pump in it that was replaced at 139,000 miles and cash only and in person only"
42,1962 m38-a1 military jeep,1500,1962.0,https://charlottesville.craigslist.org/cto/d/scottsville-1962-m38-a1-military-jeep/7784860520.html,jeep,63.0,7.313220387090301,4.143134726391533,title,1962,missing,missing,4wd,gas,25000,blue,manual,missing,"needs restoration, 4 new wheels and tires. Asking $1500, phone  show contact info"
43,2010 avalanche,5500,2010.0,https://charlottesville.craigslist.org/cto/d/mineral-2010-avalanche/7784792017.html,missing,15.0,8.612503371220562,2.70805020110221,title,2010,missing,missing,missing,gas,226000,missing,automatic,missing,Runs good. Ltz model with 226k miles. Has some rust. New inspection. $5500 or best offer
44,dodge m37 powerwagon,7000,,https://charlottesville.craigslist.org/cto/d/piney-river-dodge-m37-powerwagon/7784758445.html,dodge,,8.85366542803745,,title,1954,fair, 6 cylinders,4wd,gas,45000,red,manual,offroad,"(Sale fell through reposted and lowered cost) Mid 50’s Air Force Dodge M37 3/4 Ton 4 wheel drive POWERWAGON.  Was outfit for fire department pumper truck. Has gear driven  PTO for winch.  Inline 6cyl L head original motor. Motor runs great but tank fuel line clogged  have to bypass using fuel can. Tank does not have leak, just clogged line. Brakes need to be overhauled master cylinder to each wheel. Body and chassis are very clean with little to no rust. Can deliver for fee."
45,"2018 toyota tacoma truck sr5 4wd double cab, 6 cyl, auto, 30,000 miles",30550,2018.0,https://charlottesville.craigslist.org/cto/d/louisa-2018-toyota-tacoma-truck-sr5-4wd/7784680777.html,toyota,7.0,10.327119964599742,1.9459101490553132,title,2018,excellent, 6 cylinders,4wd,gas,30000,white,automatic,truck,"2018 Toyota Tacoma Truck SR5 4WD double cab, 6 cyl, automatic, only 30,000 miles, white, power rear window, short-bed, bed liner with adjustable tie down system, running boards, tow package, Husky mats & tool box, alarm system with remote start, excellent condition. NO DEALERSHIPS."
46,2003 toyota highlander,3300,2003.0,https://charlottesville.craigslist.org/cto/d/lovingston-2003-toyota-highlander/7784607564.html,toyota,22.0,8.101677747454572,3.091042453358316,title,2003,fair, 6 cylinders,4wd,gas,289600,missing,automatic,SUV,"Best vehicle I ever owned! Runs fine. Miles are mostly highway and country roads. One primary driver since new. Clean interior, never smoked in. Gold color exterior. Towing package."
47,2011 chrysler town and country,2500,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-chrysler-town-and/7784233445.html,missing,14.0,7.824046010856292,2.6390573296152584,title,2011,fair, 6 cylinders,fwd,gas,234000,white,automatic,minivan,2011 Chrysler town and country234k milesOverall in fair conditionEngine and transmission run wellLeather seats throughout. Stow and Go Seats2 TV entertainment system with remotes. Needs 2 tires and front end work sway bar links and alignment per mechanic. Selling AS ISWill need some TLCFirm at $2500 so please dont offer anything lower. Priced accordingly to the work that it needs.
48,2006 mitsubishi endeavor awd ls,3200,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-mitsubishi/7784157813.html,mitsubishi,19.0,8.070906088787819,2.9444389791664403,title,2006,like new, 6 cylinders,missing,gas,206410,missing,automatic,missing,"2006 Mitsubishi Endeavor AWD LS* Silver* 6 Cylinder* Gray cloth seats* Stereo CD player* Hot air cold A/C* Power doors locks and windows* Two keys* Roof rack* Semi alloy rims* New tires* Good on gas* Factory tent windows* NO Pets, No Smokers* CASH ONLY no tradesAny questions give me a call or textshow contact info$3,200"
49,2019 hyundai kona excellent condition,15000,2019.0,https://charlottesville.craigslist.org/cto/d/barboursville-2019-hyundai-kona/7783977835.html,missing,6.0,9.615805480084347,1.791759469228055,title,2019,excellent, 4 cylinders,4wd,gas,58000,white,automatic,SUV,"Vehicle is in like new condition,AWD, 6 speed automatic, brand new all 4 tires, one owner,  no smoking,  runs and looks great ,  new inspection , new oil change, still 4 years or 42000 miles Hyundai warranty  !Text or cal  show contact info"
